Listes candidates,Total période (durée),Nom du media,Type de media,Durée en seconde,Durée en minute,Temps total,Couleur,Taux temps de parole,Durée en heure
ÉCOLOGIE AU CENTRE,00:06:33,C8,TV généraliste,393,6.55,45402,Ecologiste et Regionaliste,0.8656006343332893,0.10916666666666666
ECOLOGIE POSITIVE ET TERRITOIRES,00:00:42,C8,TV généraliste,42,0.7,45402,Ecologiste et Regionaliste,0.09250693802035154,0.011666666666666667
ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE,00:03:43,C8,TV généraliste,223,3.716666666666667,45402,Ecologiste et Regionaliste,0.4911677899651998,0.06194444444444445
EUROPE ECOLOGIE,00:56:40,C8,TV généraliste,3400,56.666666666666664,45402,Ecologiste et Regionaliste,7.48865688736179,0.9444444444444444
EUROPE TERRITOIRES ÉCOLOGIE,00:02:50,C8,TV généraliste,170,2.8333333333333335,45402,Sociaux Democrate,0.37443284436808955,0.04722222222222222
FRANCE LIBRE,00:00:51,C8,TV généraliste,51,0.85,45402,Extreme droite - Divers,0.11232985331042686,0.014166666666666666
GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL,00:24:30,C8,TV généraliste,1470,24.5,45402,gauche radicale,3.2377428307123033,0.4083333333333333
LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,01:02:48,C8,TV généraliste,3768,62.8,45402,Les conservateurs,8.299193868111537,1.0466666666666666
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",00:47:55,C8,TV généraliste,2875,47.916666666666664,45402,Extreme droite - Divers,6.332320162107397,0.7986111111111112
LA FRANCE INSOUMISE - UNION POPULAIRE,01:24:32,C8,TV généraliste,5072,84.53333333333333,45402,gauche radicale,11.171314039029118,1.4088888888888889
LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN,02:38:07,C8,TV généraliste,9487,158.11666666666667,45402,Extreme droite - Divers,20.895555261882738,2.6352777777777776
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX",00:09:36,C8,TV généraliste,576,9.6,45402,Autres,1.268666578564821,0.16
LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS,00:10:14,C8,TV généraliste,614,10.233333333333333,45402,gauche radicale,1.3523633320118058,0.17055555555555554
L?EUROPE ÇA SUFFIT!,00:10:00,C8,TV généraliste,600,10.0,45402,Extreme droite - Divers,1.3215276860050218,0.16666666666666666
NOUS LE PEUPLE,00:00:34,C8,TV généraliste,34,0.5666666666666667,45402,Autres,0.0748865688736179,0.009444444444444445
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!",00:00:34,C8,TV généraliste,34,0.5666666666666667,45402,Sociaux Democrate,0.0748865688736179,0.009444444444444445
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI",00:10:02,C8,TV généraliste,602,10.033333333333333,45402,Autres,1.3259327782917052,0.16722222222222222
PARTI PIRATE,00:03:29,C8,TV généraliste,209,3.4833333333333334,45402,Autres,0.46033214395841593,0.058055555555555555
